as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1957-12-31,permno-21434-19570301,21434,BIW,"COG, BIW",BATH IRON WKS INC; BATH INDS INC; BATH IRON WKS CORP; CONGOLEUM CORP,,1957-03-01,1968-09-10,wrds,ticker_history_requires_override
1957-12-31,permno-18841-19570301,18841,BK,BK,BLAW KNOX CO,,1957-03-01,1968-04-03,wrds,reused_symbol_requires_override
1957-12-31,permno-17718-19570301,17718,BLD,BLD,BULLARD CO,,1957-03-01,1968-04-03,wrds,auto
1957-12-31,permno-10735-19570301,10735,BLS,BLS,BEECH NUT PACKING CO; BEECH NUT LIFE SAVERS INC,,1957-03-01,1968-01-17,wrds,reused_symbol_requires_override
1957-12-31,permno-16571-19570301,16571,BN,BN,BORDEN CO; BORDEN INC,,1957-03-01,1994-12-20,wrds,auto
1957-12-31,permno-20714-19570301,20714,BNDN,"BND, BNDN",BOND INDUSTRIES INC; BOND STORES INC,,1957-03-01,1964-02-19,wrds,ticker_history_requires_override
1957-12-31,permno-19377-19570301,19377,BNL,BNL,BENEFICIAL LN CORP; BENEFICIAL INDL LN CORP; BENEFICIAL FIN CO; BENEFICIAL CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-27561-19570301,27561,BO,BO,BALTIMORE & OHIO RR CO,,1957-03-01,1966-12-14,wrds,auto
1957-12-31,permno-17590-19570301,17590,BOR,BOR,BORG WARNER CORP,,1957-03-01,1987-08-05,wrds,auto
1957-12-31,permno-14883-19570301,14883,BP,"UCC, BP",UNION BAG CAMP PAPER CORP; UNION BAG & PAPER CORP; UNION CAMP CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-17953-19570301,17953,BRY,BRY,BEATRICE CREAMERY CO; BEATRICE FOODS CO; BEATRICE CO,,1957-03-01,1986-04-23,wrds,auto
1957-12-31,permno-10786-19570301,10786,BS,BS,BETHLEHEM STEEL CORP,,1957-03-01,1996-01-02,wrds,auto
1957-12-31,permno-10823-19570301,10823,BU,"KSE, BU",KEYSPAN ENERGY CORP; BROOKLYN UNION GAS CO,,1957-03-01,1983-11-30,wrds,ticker_history_requires_override
1957-12-31,permno-20677-19570301,20677,BUR,BUR,BURLINGTON MILLS CORP; BURLINGTON INDUSTRIES INC,,1957-03-01,1987-09-09,wrds,auto
1957-12-31,permno-10751-19570301,10751,BX,BX,BENDIX CORP; BENDIX AVIATION CORP; STROMBERG CARBURETOR CO AMER INC,,1957-03-01,1983-02-02,wrds,reused_symbol_requires_override
1957-12-31,permno-16651-19570301,16651,BY,"BCW, BY",BUCYRUS ERIE CO; BECOR WESTERN INC,,1957-03-01,1987-12-09,wrds,ticker_history_requires_override
1957-12-31,permno-10727-19570301,10727,BYK,BYK,BAYUK CIGARS INC,,1957-03-01,1970-06-24,wrds,auto
1957-12-31,permno-11260-19570301,11260,C,C,CHRYSLER CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-21979-19570301,21979,CBE,CBE,COOPER INDUSTRIES LTD; COOPER INDUSTRIES PLC; COOPER INDUSTRIES INC; COOPER BESSEMER CORP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-15368-19570301,15368,CBS,"WX, CBS",C B S CORP; WESTINGHOUSE ELECTRIC CORP; WESTINGHOUSE ELECTRIC & MFG CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-20730-19570301,20730,CBS,CBS,COLUMBIA BROADCASTING SYS INC; C B S INC,,1957-03-01,1995-11-24,wrds,reused_symbol_requires_override
1957-12-31,permno-11367-19570301,11367,CC,CC,COMMERCIAL CR CO,,1957-03-01,1968-08-20,wrds,reused_symbol_requires_override
1957-12-31,permno-17726-19570301,17726,CCK,CCK,CROWN CORK & SEAL CO INC; CROWN CORK & SEAL INC; CROWN HOLDINGS INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-15835-19570301,15835,CD,CD,CANADA DRY CORP; CANADA DRY GINGER ALE INC,,1957-03-01,1968-07-23,wrds,auto
1957-12-31,permno-11092-19570301,11092,CDP,CDP,CERRO DE PASCO COPPER CORP; CERRO DE PASCO CORP; CERRO CORP,,1957-03-01,1976-03-03,wrds,auto
1957-12-31,permno-11391-19570301,11391,CDR,CDR,CONSOLIDATED CIGAR CORP,,1957-03-01,1968-01-17,wrds,auto
1957-12-31,permno-17232-19570301,17232,CEG,"AGG, CEG",AGUIRRE CO; CENTRAL AGUIRRE SUGAR CO; CENTRAL AGUIRRE ASSOC,,1957-03-01,1967-07-19,wrds,ticker_history_requires_override
1957-12-31,permno-86239-19570301,86239,CF,"CFIP, CF",C F & I STEEL CORP; COLORADO FUEL & IRON CORP,,1957-03-01,1972-01-19,wrds,ticker_history_requires_override
1957-12-31,permno-10989-19570301,10989,CFG,"BFO, CPC, CFG",CORN PRODUCTS CO; BESTFOODS; C P C INTERNATIONAL INC; CORN PRODUCTS REFINING CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1957-12-31,permno-11340-19570301,11340,CG,CG,COLUMBIA GAS & ELEC CO; COLUMBIA GAS SYS INC; COLUMBIA ENERGY GROUP,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1957-12-31,permno-11164-19570301,11164,CGG,CGG,CHICAGO PNEUMATIC TOOL CO,,1957-03-01,1986-12-17,wrds,auto
1957-12-31,permno-19684-19570301,19684,CGH,CGH,CLEVITE CORP; CLEVELAND GRAPHITE BRONZE CO,,1957-03-01,1969-08-06,wrds,auto
1957-12-31,permno-11447-19570301,11447,CH,"CCC, CH",CONTINENTAL CAN INC; CONTINENTAL GROUP INC,,1957-03-01,1984-10-03,wrds,ticker_history_requires_override
1957-12-31,permno-16758-19570301,16758,CH,"CEH, CH",CUTLER HAMMER INC; CUTLER HAMMER MFG CO,,1957-03-01,1979-01-10,wrds,ticker_history_requires_override
1957-12-31,permno-21119-19570301,21119,CHB,"RCB, CHB",CHAIN BELT CO; REX CHAINBELT INC; REXNORD INC,,1957-03-01,1987-05-06,wrds,ticker_history_requires_override
1957-12-31,permno-15819-19570301,15819,CI,CI,CONTINENTAL BAKING CORP; CONTINENTAL BAKING CO,,1957-03-01,1968-09-10,wrds,reused_symbol_requires_override
1957-12-31,permno-22947-19570301,22947,CIN,CIN,CINCINNATI GAS & ELEC CO; CINERGY CORP,,1957-03-01,1976-06-30,wrds,reused_symbol_requires_override
