date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
1993-01-13,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.759259223937988,2.478536367416382,3912975.0
1993-01-14,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.814815044403076,2.5074679851531982,3134700.0
1993-01-15,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.037036895751953,2.623197078704834,8181000.0
1993-01-18,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.129630088806152,2.6714162826538086,4504275.0
1993-01-19,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.148148059844971,2.6810615062713623,4852575.0
1993-01-20,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.129630088806152,2.6714162826538086,5228550.0
1993-01-21,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.074073791503906,2.642486572265625,2572425.0
1993-01-22,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.092593193054199,2.652130365371704,1936575.0
1993-01-25,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.185184955596924,2.700350284576416,4156650.0
1993-01-26,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.129630088806152,2.6714162826538086,3713175.0
1993-01-27,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.055555820465088,2.632840156555176,1855575.0
1993-01-28,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.092593193054199,2.652130365371704,2484000.0
1993-01-29,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.111111164093018,2.661773443222046,1897425.0
1993-02-01,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.185184955596924,2.700350284576416,1558575.0
1993-02-02,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.314815044403076,2.7678592205047607,6338250.0
1993-02-03,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.240740776062012,2.7292823791503906,5090175.0
1993-02-04,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.444444179534912,2.835367202758789,15554025.0
1993-02-05,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.296296119689941,2.7582130432128906,4023675.0
1993-02-08,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.351851940155029,2.7871460914611816,2465100.0
1993-02-09,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.222221851348877,2.7196388244628906,2318625.0
1993-02-10,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.148148059844971,2.6810615062713623,2253825.0
1993-02-11,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.185184955596924,2.700350284576416,1998000.0
1993-02-12,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.055555820465088,2.632840156555176,1726650.0
1993-02-16,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.944444179534912,2.5749776363372803,3426975.0
1993-02-17,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.870369911193848,2.536400318145752,3328425.0
1993-02-18,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.888888835906982,2.546044111251831,2405025.0
1993-02-19,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.740740776062012,2.468893051147461,2309175.0
1993-02-22,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.685184955596924,2.4399588108062744,3258900.0
1993-02-23,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.851851940155029,2.5267560482025146,2003400.0
1993-02-24,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.8333330154418945,2.51711106300354,2261250.0
1993-02-25,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.796296119689941,2.497823715209961,2451600.0
1993-02-26,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.796296119689941,2.497823715209961,2319975.0
1993-03-01,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.648148059844971,2.426666736602783,3084750.0
1993-03-02,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.888888835906982,2.552351236343384,1734075.0
1993-03-03,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.925926208496094,2.5716891288757324,2256525.0
1993-03-04,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.796296119689941,2.5040111541748047,4474575.0
1993-03-05,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.907406806945801,2.562019109725952,4387500.0
1993-03-08,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.129630088806152,2.6780335903167725,4489425.0
1993-03-09,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.018518924713135,2.620027542114258,3516750.0
1993-03-10,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.055555820465088,2.639362335205078,2225475.0
1993-03-11,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,5.037036895751953,2.629695415496826,2735100.0
1993-03-12,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,4.944444179534912,2.5813567638397217,2323350.0
